index,petition_id,there,should,people,their,government,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
34,90e53955-0a12-4232-ab0c-a7f139a4ca6a,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,6a5d1288-61f3-42fc-b92a-61c6f5d937cc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,89b648f6-c131-43fb-b1cf-b1adea3daec6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2e822c73-fe72-4377-9790-4f59c85557d9,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
38,a81bfe25-d62a-4eb3-be63-cff781f4556e,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39,077640df-2d73-417e-8d41-c7dee7d5c435,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
40,edea0f8c-ea0c-4e42-af6d-a00e1935fa6a,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,c89629ab-f162-48bd-b9db-1bf2c0394ce1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,96d6aa17-0a1a-4835-a978-1ae3947b9568,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
43,146225ae-595f-4af5-b520-cc754739a355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4af20ab4-f987-4698-b927-18bf5b45b517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1c343948-c55b-4b06-a14f-f1726078259a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,f28239aa-57c2-4845-8fe8-c4c924ab7c65,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
47,1227e11d-23aa-4379-b32d-f52e6d4373a8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,4aab32c4-9f91-4759-b9cf-d380ac62f70b,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,fde198da-1a7b-4c0a-ac96-449a9bd521ec,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1bf9c9dc-38d6-4df1-9e1a-7b7bdd76d3a1,0,3,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
51,ee94e19b-9c3a-4c16-ae60-558f2455010d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3f86979c-a525-4004-8ef5-a94c2dd16888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,acff1113-b131-4299-8afd-3ffc166ad8bf,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,a47acec6-70c2-4659-84c8-ca4564b60a85,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
55,1768666b-bddd-4824-b268-043d3e41187a,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
56,325eae28-d826-4293-a17e-81c9d85e2600,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,e7c5a119-a862-4a2f-9f52-4396e20da342,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
58,3b4b61c4-4881-428e-94cf-fddd9dc8dd3e,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0e309d7d-9a3c-4d7c-94cb-b469b03ed945,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,c25bf43d-ca3b-42e8-85ea-67aee8e44145,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
61,bb0369a8-b713-45bc-8707-1495512775df,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,1de91b09-2f9d-4471-a9b9-be5834efca1f,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
63,a1178d1f-49c6-4d66-ac51-e214d75dc1ad,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,31599e19-ab2d-4d2f-84a1-0afd2d0fafc2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
65,9cc3a4a7-fcbe-4f7d-aacc-04bee82b947e,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,e271219f-a77a-4d1c-9e0d-3648e814633f,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2f5db1b3-d6f2-468e-9f02-34b48626a328,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,ef7d081f-bd2c-4067-9e6c-0abafefe3ca5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,ab8e6fe7-65c2-472d-b407-8832025191b9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
